scene	numLines
I.1	9
I.2	7
I.3	0
II.1	9
II.2	0
II.3	37
II.4	0
II.5	40
III.1	0
III.2	0
III.3	8
III.4	0
III.5	0
III.6	32
III.7	0
IV.1	0
IV.2	34
IV.3	34
IV.4	0
IV.5	0
V.1	0
V.2	0
V.3	63
