scene	numLines
I.1	40
I.2	0
I.3	105
II.1	0
II.2	29
II.3	0
II.4	0
II.5	0
III.1	0
III.2	49
III.3	0
III.4	26
III.5	0
III.6	0
III.7	0
IV.1	0
IV.2	0
IV.3	0
IV.4	0
IV.5	16
V.1	0
V.2	0
V.3	16
