scene	numLines
I.1	0
I.2	0
I.3	0
I.4	0
I.5	0
I.6	0
I.7	0
I.8	0
I.9	18
I.10	0
II.1	21
II.2	25
II.3	66
III.1	151
III.2	59
III.3	50
IV.1	44
IV.2	0
IV.3	0
IV.4	26
IV.5	64
IV.6	0
IV.7	0
V.1	0
V.2	14
V.3	106
V.4	0
V.5	0
V.6	35
