scene	numLines
I.1	0
I.2	0
I.3	0
I.4	0
II.1	0
II.2	0
II.3	0
II.4	0
III.1	0
III.2	0
III.3	0
IV.1	0
IV.2	84
IV.3	14
IV.4	0
IV.5	0
IV.6	10
IV.7	64
IV.8	28
IV.9	0
IV.10	42
V.1	0
V.2	0
V.3	0
