scene	numLines
I.1	88
I.2	0
I.3	0
II.1	76
II.2	0
II.3	82
III.1	0
III.2	9
III.3	0
III.4	0
III.5	0
IV.1	48
IV.2	0
V.1	23
V.2	58
V.3	0
V.4	48
