duke,dukeLines,dukeColor,love,loveLines,loveColor,give,giveLines,giveColor,gods,godsLines,godsColor,mine,mineLines,mineColor,son,sonLines,sonColor,tom,tomLines,tomColor,dear,dearLines,dearColor,old,oldLines,oldColor,eyes,eyesLines,eyesColor,speak,speakLines,speakColor,death,deathLines,deathColor,fool,foolLines,foolColor,pray,prayLines,prayColor,away,awayLines,awayColor,night,nightLines,nightColor,father,fatherLines,fatherColor,two,twoLines,twoColor,better,betterLines,betterColor,call,callLines,callColor,edmund,edmundLines,edmundColor,master,masterLines,masterColor,lord,lordLines,lordColor,hold,holdLines,holdColor,tell,tellLines,tellColor,daughters,daughtersLines,daughtersColor,take,takeLines,takeColor,poor,poorLines,poorColor,life,lifeLines,lifeColor,nature,natureLines,natureColor,never,neverLines,neverColor,sister,sisterLines,sisterColor,hear,hearLines,hearColor,letter,letterLines,letterColor,nothing,nothingLines,nothingColor,world,worldLines,worldColor,fellow,fellowLines,fellowColor,lady,ladyLines,ladyColor,grace,graceLines,graceColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,daughter,daughterLines,daughterColor,brother,brotherLines,brotherColor,keep,keepLines,keepColor,heart,heartLines,heartColor,place,placeLines,placeColor,stand,standLines,standColor,time,timeLines,timeColor,gloucester,gloucesterLines,gloucesterColor
GLOUCESTER,9,346.153846154,OSWALD,1,263.076923077,REGAN,4,276.923076923, , , , , , ,REGAN,8,276.923076923, , , ,REGAN,2,276.923076923,EDGAR,17,221.538461538,REGAN,1,276.923076923,EDGAR,6,221.538461538, , , , , , , , , ,OSWALD,1,263.076923077,REGAN,4,276.923076923,EDMUND,13,166.153846154, , , ,KENT,4,318.461538462,GLOUCESTER,1,346.153846154, , , , , , ,EDGAR,4,221.538461538,KENT,3,318.461538462,GLOUCESTER,3,346.153846154, , , ,GONERIL,5,249.230769231,GLOUCESTER,5,346.153846154,GLOUCESTER,2,346.153846154,GLOUCESTER,6,346.153846154,EDMUND,2,166.153846154,REGAN,15,276.923076923,OSWALD,1,263.076923077,GLOUCESTER,8,346.153846154, , , , , , , , , ,REGAN,4,276.923076923, , , ,CORDELIA,2,124.615384615,EDMUND,6,166.153846154,GLOUCESTER,3,346.153846154,GLOUCESTER,2,346.153846154, , , , , , ,GLOUCESTER,7,346.153846154, , , ,GLOUCESTER,4,346.153846154,KENT,6,318.461538462, , , 
 , , ,REGAN,5,276.923076923,CORNWALL,2,55.3846153846, , , , , , ,GLOUCESTER,14,346.153846154, , , ,GLOUCESTER,4,346.153846154,GONERIL,8,249.230769231,GLOUCESTER,5,346.153846154,REGAN,6,276.923076923, , , , , , , , , ,REGAN,1,276.923076923,CORNWALL,1,55.3846153846,KENT,3,318.461538462, , , ,OSWALD,1,263.076923077, , , , , , , , , ,GONERIL,9,249.230769231,OSWALD,1,263.076923077, , , , , , ,EDMUND,8,166.153846154, , , , , , , , , ,KENT,2,318.461538462,GLOUCESTER,1,346.153846154,REGAN,4,276.923076923, , , , , , , , , , , , ,GLOUCESTER,3,346.153846154, , , ,EDGAR,22,221.538461538,KENT,28,318.461538462, , , , , , , , , , , , , , , , , , , , , ,OSWALD,1,263.076923077, , , 
 , , ,CORNWALL,1,55.3846153846,GLOUCESTER,4,346.153846154, , , , , , , , , , , , , , , ,EDMUND,8,166.153846154, , , ,GLOUCESTER,4,346.153846154, , , , , , , , , ,GLOUCESTER,4,346.153846154,GLOUCESTER,8,346.153846154,OSWALD,1,263.076923077, , , ,REGAN,1,276.923076923, , , , , , , , , ,Messenger,4,69.2307692308,REGAN,1,276.923076923, , , , , , ,KENT,6,318.461538462, , , , , , , , , ,OSWALD,2,263.076923077, , , ,CORNWALL,2,55.3846153846, , , , , , , , , , , , , , , , , , ,GONERIL,13,249.230769231,OSWALD,2,263.076923077, , , , , , , , , , , , , , , , , , , , , ,REGAN,1,276.923076923, , , 
 , , ,GLOUCESTER,5,346.153846154, , , , , , , , , , , , , , , , , , ,KENT,12,318.461538462, , , , , , , , , , , , , , , , , , , , , ,REGAN,5,276.923076923, , , ,GLOUCESTER,5,346.153846154, , , , , , , , , ,EDMUND,14,166.153846154,GLOUCESTER,1,346.153846154, , , , , , ,OSWALD,2,263.076923077, , , , , , , , , ,REGAN,2,276.923076923, , , ,GLOUCESTER,10,346.153846154, , , , , , , , , , , , , , , , , , ,EDMUND,5,166.153846154,REGAN,3,276.923076923, , , , , , , , , , , , , , , , , , , , , ,CORNWALL,1,55.3846153846, , , 
 , , , , , , , , , , , , , , , , , , , , , , , ,OSWALD,7,263.076923077, , , , , , , , , , , , , , , , , , , , , ,CORNWALL,4,55.3846153846, , , , , , , , , , , , , , , ,KENT,18,318.461538462, , , , , , , , , ,REGAN,3,276.923076923, , , , , , , , , ,GLOUCESTER,2,346.153846154, , , , , , , , , , , , , , , , , , , , , , , , ,KENT,14,318.461538462,GLOUCESTER,17,346.153846154, , , , , , , , , , , , , , , , , , , , , ,GLOUCESTER,4,346.153846154, , , 
 , , , , , , , , , , , , , , , , , , , , , , , ,REGAN,7,276.923076923, , , , , , , , , , , , , , , , , , , , , ,GLOUCESTER,7,346.153846154, , , , , , , , , , , , , , , ,OSWALD,6,263.076923077, , , , , , , , , ,CORNWALL,3,55.3846153846, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,OSWALD,2,263.076923077, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , ,Herald,2,235.384615385, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,REGAN,11,276.923076923, , , , , , , , , ,GLOUCESTER,14,346.153846154, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,REGAN,7,276.923076923, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , ,GLOUCESTER,7,346.153846154, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Captain,3,332.307692308, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Captain,1,332.307692308, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,GLOUCESTER,7,346.153846154, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Herald,1,235.384615385, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,GLOUCESTER,11,346.153846154, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
