heart,heartLines,heartColor,love,loveLines,loveColor,gold,goldLines,goldColor,give,giveLines,giveColor,gods,godsLines,godsColor,eyes,eyesLines,eyesColor,welcome,welcomeLines,welcomeColor,want,wantLines,wantColor,fool,foolLines,foolColor,poor,poorLines,poorColor,keep,keepLines,keepColor,thyself,thyselfLines,thyselfColor,best,bestLines,bestColor,speak,speakLines,speakColor,gone,goneLines,goneColor,use,useLines,useColor,ne'er,ne'erLines,ne'erColor,friends,friendsLines,friendsColor,away,awayLines,awayColor,athens,athensLines,athensColor,master,masterLines,masterColor,take,takeLines,takeColor,time,timeLines,timeColor,lord,lordLines,lordColor,tell,tellLines,tellColor,friend,friendLines,friendColor,timon,timonLines,timonColor,noble,nobleLines,nobleColor,life,lifeLines,lifeColor,never,neverLines,neverColor,nature,natureLines,natureColor,honour,honourLines,honourColor,men,menLines,menColor,none,noneLines,noneColor,mine,mineLines,mineColor,hear,hearLines,hearColor,nothing,nothingLines,nothingColor,world,worldLines,worldColor,stay,stayLines,stayColor,true,trueLines,trueColor,day,dayLines,dayColor,man,manLines,manColor,great,greatLines,greatColor,fortune,fortuneLines,fortuneColor,money,moneyLines,moneyColor,dog,dogLines,dogColor,honest,honestLines,honestColor,apemantus,apemantusLines,apemantusColor,sent,sentLines,sentColor,lordship,lordshipLines,lordshipColor
Second Senator,1,87.0967741935,Second Senator,3,87.0967741935, , , , , , ,Lucilius' Servant,1,63.8709677419, , , , , , ,CAPHIS,1,330.967741935, , , , , , , , , , , , ,Old Athenian,1,92.9032258065,FLAVIUS,6,243.870967742, , , ,Senator,1,249.677419355, , , , , , , , , , , , ,CAPHIS,2,330.967741935,Senator,1,249.677419355,Second Lord,1,81.2903225806,Second Senator,1,87.0967741935, , , ,First Stranger,2,17.4193548387,TIMANDRA,1,98.7096774194,First Stranger,1,17.4193548387, , , , , , , , , ,LUCILIUS,2,168.387096774,FLAVIUS,1,243.870967742, , , ,Senator,1,249.677419355, , , ,Painter,2,180.0, , , , , , , , , ,Senator,1,249.677419355,LUCILIUS,1,168.387096774,First Senator,1,348.387096774,Second Senator,1,87.0967741935,Third Lord,1,313.548387097, , , , , , , , , , , , ,LUCILIUS,3,168.387096774
First Senator,1,348.387096774,First Senator,2,348.387096774, , , , , , ,Old Athenian,1,92.9032258065, , , , , , , , , , , , , , , , , , , , , ,Painter,1,180.0,LUCILIUS,1,168.387096774, , , ,Second Lord,1,81.2903225806, , , , , , , , , , , , , , , ,Second Senator,2,87.0967741935,Second Senator,3,87.0967741935,Old Athenian,4,92.9032258065, , , ,FLAVIUS,5,243.870967742,Merchant,1,110.322580645,FLAVIUS,3,243.870967742, , , , , , , , , ,Senator,1,249.677419355,Second Senator,1,87.0967741935, , , ,Lucilius' Servant,3,63.8709677419, , , , , , , , , , , , , , , ,Second Lord,2,81.2903225806,Messenger,1,58.064516129,CAPHIS,1,330.967741935,Painter,2,180.0,CAPHIS,1,330.967741935, , , , , , , , , , , , ,Jeweller,1,174.193548387
First Senator ,1,232.258064516,Painter,1,180.0, , , , , , ,Painter,1,180.0, , , , , , , , , , , , , , , , , , , , , , , , ,Old Athenian,1,92.9032258065, , , ,Second Senator,1,87.0967741935, , , , , , , , , , , , , , , ,First Senator,2,348.387096774,First Bandit,1,0,SERVILIUS,6,104.516129032, , , ,LUCILIUS,2,168.387096774,First Lord,2,116.129032258,Second Lord,1,81.2903225806, , , , , , , , , ,Second Senator,1,87.0967741935, , , , , , ,Old Athenian,1,92.9032258065, , , , , , , , , , , , , , , ,Second Senator,2,87.0967741935,LUCULLUS,1,185.806451613, , , , , , , , , , , , , , , , , , , , , ,Second Lord,2,81.2903225806
 , , ,SEMPRONIUS,1,342.580645161, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Painter,1,180.0, , , ,First Senator,1,348.387096774, , , , , , , , , , , , , , , ,SEMPRONIUS,1,342.580645161, , , ,Merchant,3,110.322580645, , , ,First Senator,1,348.387096774,LUCILIUS,3,168.387096774,Second Senator,1,87.0967741935, , , , , , , , , ,Old Athenian,1,92.9032258065, , , , , , ,SEMPRONIUS,1,342.580645161, , , , , , , , , , , , , , , ,CAPHIS,1,330.967741935,First Stranger,1,17.4193548387, , , , , , , , , , , , , , , , , , , , , ,CAPHIS,1,330.967741935
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Painter,1,180.0, , , , , , , , , , , , , , , , , , , , , ,First Lord,7,116.129032258, , , ,First Bandit,1,0,Painter,1,180.0,Old Athenian,3,92.9032258065, , , , , , , , , ,SEMPRONIUS,1,342.580645161, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FLAVIUS,5,243.870967742, , , , , , , , , , , , , , , , , , , , , ,Some Speak,1,336.774193548
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FLAMINIUS,4,121.935483871, , , ,SEMPRONIUS,1,342.580645161,ALCIBIADES,9,191.612903226,CAPHIS,1,330.967741935, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Poet,2,69.6774193548, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Second Stranger,3,267.096774194, , , , , , ,Third Servant,1,209.032258065, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Second Lord,2,81.2903225806, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Varro's First Servant,1,150.967741935, , , , , , ,TITUS,2,214.838709677, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,First Bandit,1,0, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Varro's Second Servant,1,156.774193548, , , , , , ,Third Senator,1,319.35483871, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Old Athenian,3,92.9032258065, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,LUCILIUS,5,168.387096774, , , , , , ,APEMANTUS,12,226.451612903, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Painter,1,180.0, , , , , , , , , , , , , , , , , , , , , , , , 
