duke,old,fair,give,sweet,mine,two,gentle,wit,fool,love,eyes,speak,lie,little,court,thank,pray,god,away,father,young,better,live,call,take,master,tell,forest,poor,youth,life,full,shepherd,never,bear,rosalind,world,true,man,faith,woman,fortune,hour,marry,orlando,brother,phebe,heart,time
AMIENS 2 253.333333333,CELIA 4 13.3333333333,SILVIUS 1 200.0,SILVIUS 1 200.0,TOUCHSTONE 4 213.333333333,,,CELIA 3 13.3333333333,CORIN 8 320.0,,LE BEAU 3 53.3333333333,,TOUCHSTONE 1 213.333333333,CELIA 2 13.3333333333,,,,,,,,DUKE FREDERICK 1 306.666666667,,,DENNIS 1 93.3333333333,CELIA 5 13.3333333333,,,,,TOUCHSTONE 1 213.333333333,CELIA 1 13.3333333333,,,,,,JAQUES 6 66.6666666667,SILVIUS 1 200.0,CORIN 3 320.0,SILVIUS 1 200.0,,,,,,DUKE FREDERICK 4 306.666666667,,TOUCHSTONE 1 213.333333333,DUKE FREDERICK 1 306.666666667
JAQUES 2 66.6666666667,DUKE SENIOR 4 0,TOUCHSTONE 1 213.333333333,TOUCHSTONE 3 213.333333333,,,,Second Lord 1 80.0,SILVIUS 1 200.0,,CELIA 15 13.3333333333,,,Second Lord 1 80.0,,,,,,,,ADAM 2 186.666666667,,,SILVIUS 2 200.0,DUKE FREDERICK 1 306.666666667,,,,,,JAQUES 1 66.6666666667,,,,,,DUKE FREDERICK 1 306.666666667,TOUCHSTONE 3 213.333333333,First Page 1 293.333333333,TOUCHSTONE 1 213.333333333,,,,,,TOUCHSTONE 1 213.333333333,,,
ADAM 1 186.666666667,JAQUES 4 66.6666666667,,,,,,JAQUES 1 66.6666666667,TOUCHSTONE 20 213.333333333,,AMIENS 1 253.333333333,,,JAQUES 4 66.6666666667,,,,,,,,,,,DUKE FREDERICK 1 306.666666667,LE BEAU 1 53.3333333333,,,,,,TOUCHSTONE 4 213.333333333,,,,,,ADAM 1 186.666666667,ADAM 1 186.666666667,ROSALIND 61 40.0,,,,,,,,,,
,SILVIUS 2 200.0,,,,,,SILVIUS 1 200.0,HYMEN 3 226.666666667,,SILVIUS 15 200.0,,,SILVIUS 1 200.0,,,,,,,,,,,ADAM 2 186.666666667,,,,,,,,,,,,,,,LE BEAU 3 53.3333333333,,,,,,,,,,
,TOUCHSTONE 4 213.333333333,,,,,,TOUCHSTONE 3 213.333333333,AMIENS 1 253.333333333,,TOUCHSTONE 8 213.333333333,,,TOUCHSTONE 9 213.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,TOUCHSTONE 22 213.333333333,,,,,,,,,,
,LE BEAU 4 53.3333333333,,,,,,ADAM 3 186.666666667,PHEBE 6 266.666666667,,ADAM 1 186.666666667,,,ADAM 3 186.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,CELIA 12 13.3333333333,,,,,,,,,,
,,,,,,,,AUDREY 1 280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second Lord 1 80.0,,,,,,,,,,
,,,,,,,,First Page 1 293.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAQUES 16 66.6666666667,,,,,,,,,,
,,,,,,,,DUKE FREDERICK 6 306.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SILVIUS 3 200.0,,,,,,,,,,
,,,,,,,,JAQUES DE BOYS 3 240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUKE FREDERICK 4 306.666666667,,,,,,,,,,
,,,,,,,,Second Page 5 333.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADAM 2 186.666666667,,,,,,,,,,
,,,,,,,,WILLIAM 1 133.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
