heart,heartLines,heartColor,love,loveLines,loveColor,capitol,capitolLines,capitolColor,give,giveLines,giveColor,gods,godsLines,godsColor,mine,mineLines,mineColor,octavius,octaviusLines,octaviusColor,fear,fearLines,fearColor,mark,markLines,markColor,find,findLines,findColor,speak,speakLines,speakColor,death,deathLines,deathColor,true,trueLines,trueColor,away,awayLines,awayColor,night,nightLines,nightColor,day,dayLines,dayColor,caesar,caesarLines,caesarColor,take,takeLines,takeColor,lord,lordLines,lordColor,forth,forthLines,forthColor,tell,tellLines,tellColor,friend,friendLines,friendColor,noble,nobleLines,nobleColor,casca,cascaLines,cascaColor,fire,fireLines,fireColor,men,menLines,menColor,bear,bearLines,bearColor,hand,handLines,handColor,romans,romansLines,romansColor,hear,hearLines,hearColor,blood,bloodLines,bloodColor,world,worldLines,worldColor,messala,messalaLines,messalaColor,friends,friendsLines,friendsColor,brutus,brutusLines,brutusColor,man,manLines,manColor,great,greatLines,greatColor,word,wordLines,wordColor,die,dieLines,dieColor,cassius,cassiusLines,cassiusColor,lucius,luciusLines,luciusColor,leave,leaveLines,leaveColor,roman,romanLines,romanColor,rome,romeLines,romeColor,stand,standLines,standColor,time,timeLines,timeColor,meet,meetLines,meetColor,antony,antonyLines,antonyColor,to-day,to-dayLines,to-dayColor,ho,hoLines,hoColor
OCTAVIUS,1,288.0, , , ,Soothsayer,1,86.4,LUCIUS,1,144.0, , , , , , , , , ,BRUTUS,4,100.8,Fourth Citizen,2,244.8, , , ,BRUTUS,20,100.8, , , , , , , , , , , , ,BRUTUS,11,100.8,First Citizen,1,201.6,ANTONY,4,172.8,STRATO,1,64.8, , , , , , ,ANTONY,11,172.8,LUCILIUS,2,165.6, , , , , , ,Second Commoner,1,345.6,Several Citizens,1,108.0,ANTONY,7,172.8, , , ,CAESAR,3,158.4, , , , , , , , , , , , ,CAESAR,4,158.4,CINNA THE POET,2,273.6,METELLUS CIMBER,1,57.6,ANTONY,4,172.8, , , ,CAESAR,2,158.4, , , , , , , , , , , , ,LUCILIUS,1,165.6, , , , , , ,LEPIDUS,1,252.0, , , ,Third Citizen,1,295.2
ANTONY,6,172.8, , , ,BRUTUS,2,100.8,ANTONY,6,172.8, , , , , , , , , ,Third Citizen,1,295.2,OCTAVIUS,1,288.0, , , , , , , , , , , , , , , , , , ,Third Citizen,1,295.2,Servant,6,208.8,BRUTUS,4,100.8,VOLUMNIUS,3,216.0, , , , , , ,BRUTUS,14,100.8,ANTONY,6,172.8, , , , , , ,CAESAR,6,158.4, , , ,BRUTUS,13,100.8, , , ,Soothsayer,1,86.4, , , , , , , , , , , , ,LUCILIUS,4,165.6,OCTAVIUS,1,288.0,LUCILIUS,1,165.6,BRUTUS,9,100.8, , , ,CATO,1,324.0, , , , , , , , , , , , ,Soothsayer,1,86.4, , , , , , ,All,1,302.4, , , , , , 
BRUTUS,11,100.8, , , , , , ,CAESAR,1,158.4, , , , , , , , , , , , ,ANTONY,1,172.8, , , , , , , , , , , , , , , , , , , , , ,CASSIUS,27,230.4, , , ,LUCIUS,8,144.0, , , , , , , , , ,BRUTUS,5,100.8, , , , , , ,ARTEMIDORUS,1,316.8, , , , , , , , , ,ANTONY,3,172.8, , , , , , , , , , , , ,ANTONY,22,172.8,Soothsayer,1,86.4,Soothsayer,1,86.4, , , , , , ,LUCILIUS,1,165.6, , , , , , , , , , , , ,ANTONY,6,172.8, , , , , , ,PINDARUS,1,151.2, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , ,BRUTUS,11,100.8, , , , , , , , , , , , , , , , , , , , , ,CALPURNIA,3,237.6, , , ,First Soldier,1,36.0, , , , , , , , , ,Third Citizen,2,295.2, , , , , , ,FLAVIUS,3,280.8, , , , , , , , , ,BRUTUS,7,100.8, , , , , , , , , , , , ,GHOST,1,187.2,ANTONY,12,172.8,ANTONY,3,172.8, , , , , , ,ANTONY,4,172.8, , , , , , , , , , , , ,BRUTUS,10,100.8, , , , , , ,CAESAR,4,158.4, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Fourth Citizen,2,244.8, , , ,ANTONY,1,172.8, , , , , , , , , , , , , , , , , , ,Poet,1,79.2, , , , , , , , , ,Third Citizen,1,295.2, , , , , , , , , , , , ,First Soldier,1,36.0,BRUTUS,14,100.8,Second Commoner,1,345.6, , , , , , ,BRUTUS,32,100.8, , , , , , , , , , , , ,VARRO,1,14.4, , , , , , ,OCTAVIUS,4,288.0, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PUBLIUS,1,259.2, , , , , , , , , , , , , , , , , , , , , , , , ,MESSALA,2,93.6, , , , , , , , , , , , , , , , , , , , , , , , ,First Citizen,2,201.6,Third Citizen,1,295.2, , , , , , , , , , , , , , , , , , , , , , , , ,Several Citizens,1,108.0, , , , , , ,MESSALA,2,93.6, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CINNA THE POET,2,273.6, , , , , , , , , , , , , , , , , , , , , , , , ,ANTONY,13,172.8, , , , , , , , , , , , , , , , , , , , , , , , ,Servant,7,208.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ANTONY,1,172.8, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FLAVIUS,2,280.8, , , , , , , , , , , , , , , , , , , , , , , , ,BRUTUS,14,100.8, , , , , , , , , , , , , , , , , , , , , , , , ,CASSIUS,38,230.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,BRUTUS,17,100.8, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,OCTAVIUS,2,288.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Fourth Citizen,3,244.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Third Citizen,2,295.2, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Third Citizen,2,295.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,OCTAVIUS,1,288.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,All,1,302.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Third Citizen,1,295.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,TREBONIUS,1,331.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,All,2,302.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ARTEMIDORUS,7,316.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CINNA,1,309.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CINNA,1,309.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ARTEMIDORUS,2,316.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Second Commoner,1,345.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
