heart,heartLines,heartColor,tribunes,tribunesLines,tribunesColor,marcius,marciusLines,marciusColor,love,loveLines,loveColor,give,giveLines,giveColor,gods,godsLines,godsColor,consul,consulLines,consulColor,mine,mineLines,mineColor,general,generalLines,generalColor,home,homeLines,homeColor,aufidius,aufidiusLines,aufidiusColor,speak,speakLines,speakColor,city,cityLines,cityColor,voices,voicesLines,voicesColor,rather,ratherLines,ratherColor,true,trueLines,trueColor,away,awayLines,awayColor,people,peopleLines,peopleColor,state,stateLines,stateColor,take,takeLines,takeColor,time,timeLines,timeColor,show,showLines,showColor,tell,tellLines,tellColor,stand,standLines,standColor,poor,poorLines,poorColor,noble,nobleLines,nobleColor,never,neverLines,neverColor,power,powerLines,powerColor,less,lessLines,lessColor,honour,honourLines,honourColor,men,menLines,menColor,peace,peaceLines,peaceColor,bear,bearLines,bearColor,hear,hearLines,hearColor,blood,bloodLines,bloodColor,worthy,worthyLines,worthyColor,news,newsLines,newsColor,son,sonLines,sonColor,friends,friendsLines,friendsColor,man,manLines,manColor,great,greatLines,greatColor,wife,wifeLines,wifeColor,country,countryLines,countryColor,war,warLines,warColor,pray,prayLines,prayColor,rome,romeLines,romeColor,common,commonLines,commonColor,mother,motherLines,motherColor,coriolanus,coriolanusLines,coriolanusColor,first,firstLines,firstColor
AUFIDIUS,5,104.516129032,AUFIDIUS,1,104.516129032,Herald,2,214.838709677,Messenger,1,52.2580645161,Fifth Citizen,1,98.7096774194,Citizens,3,342.580645161,SICINIUS,7,81.2903225806, , , ,Second Senator,1,69.6774193548,VOLUMNIA,5,232.258064516,First Senator,2,348.387096774,Messenger,1,52.2580645161,CORIOLANUS,3,354.193548387, , , , , , ,AUFIDIUS,3,104.516129032,CORIOLANUS,4,354.193548387,Seventh Citizen,1,238.064516129, , , ,SICINIUS,2,81.2903225806, , , ,BRUTUS,3,75.4838709677,SICINIUS,1,81.2903225806,CORIOLANUS,10,354.193548387, , , ,COMINIUS,5,46.4516129032,First Senator,2,348.387096774,AUFIDIUS,5,104.516129032,Second Officer,1,255.483870968,BRUTUS,3,75.4838709677,First Citizen,2,174.193548387,CORIOLANUS,7,354.193548387,BRUTUS,4,75.4838709677,VOLUMNIA,15,232.258064516, , , ,Messenger,1,52.2580645161,BRUTUS,1,75.4838709677,SICINIUS,4,81.2903225806,AUFIDIUS,2,104.516129032,Second Servingman,2,92.9032258065,Roman,1,226.451612903, , , ,AUFIDIUS,1,104.516129032,BRUTUS,6,75.4838709677,SICINIUS,3,81.2903225806,Herald,2,214.838709677,SICINIUS,3,81.2903225806, , , ,Second Officer,2,255.483870968, , , 
BRUTUS,4,75.4838709677,BRUTUS,1,75.4838709677,All,1,301.935483871,First Officer,3,145.161290323,BRUTUS,3,75.4838709677,SICINIUS,2,81.2903225806, , , , , , ,BRUTUS,1,75.4838709677,Messenger,1,52.2580645161,CORIOLANUS,10,354.193548387,Third Citizen,1,307.741935484,AUFIDIUS,7,104.516129032, , , , , , ,First Senator,1,348.387096774,AUFIDIUS,2,104.516129032,First Officer,2,145.161290323, , , ,Second Senator,1,69.6774193548, , , ,Third Citizen,2,307.741935484,Volsce,1,150.967741935,AUFIDIUS,1,104.516129032, , , ,Second Senator,1,69.6774193548,Third Citizen,1,307.741935484,BRUTUS,8,75.4838709677,SICINIUS,2,81.2903225806,Third Citizen,1,307.741935484,Messenger,1,52.2580645161,AUFIDIUS,1,104.516129032,CORIOLANUS,7,354.193548387,Both Citizens,1,121.935483871, , , ,First Officer,1,145.161290323,First Servingman,1,203.225806452,AUFIDIUS,4,104.516129032,First Senator,1,348.387096774,First Officer,2,145.161290323,First Citizen,1,174.193548387, , , ,BRUTUS,3,75.4838709677,Roman,1,226.451612903,AUFIDIUS,2,104.516129032,Lieutenant,1,127.741935484, , , , , , ,AUFIDIUS,1,104.516129032, , , 
CORIOLANUS,13,354.193548387,CORIOLANUS,2,354.193548387,COMINIUS,7,46.4516129032,Second Officer,4,255.483870968,MARCIUS,2,156.774193548,BRUTUS,3,75.4838709677, , , , , , ,First Servingman,1,203.225806452,SICINIUS,4,81.2903225806, , , ,SICINIUS,3,81.2903225806,BRUTUS,1,75.4838709677, , , , , , ,SICINIUS,3,81.2903225806,Third Citizen,1,307.741935484,Second Officer,2,255.483870968, , , ,BRUTUS,1,75.4838709677, , , ,CORIOLANUS,11,354.193548387,BRUTUS,1,75.4838709677,BRUTUS,3,75.4838709677, , , ,Second Conspirator,1,133.548387097,CORIOLANUS,7,354.193548387,Third Citizen,2,307.741935484,AUFIDIUS,2,104.516129032,CORIOLANUS,10,354.193548387,Third Citizen,1,307.741935484,First Servingman,2,203.225806452, , , ,Second Lord,1,63.8709677419, , , ,AUFIDIUS,2,104.516129032,SICINIUS,1,81.2903225806,BRUTUS,4,75.4838709677,SICINIUS,3,81.2903225806,MARCIUS,7,156.774193548,Messenger,1,52.2580645161, , , ,CORIOLANUS,8,354.193548387,VOLUMNIA,11,232.258064516,BRUTUS,2,75.4838709677,Roman,2,226.451612903, , , , , , ,CORIOLANUS,2,354.193548387, , , 
 , , , , , ,Messenger,4,52.2580645161,SICINIUS,2,81.2903225806,MENENIUS,6,168.387096774,CORIOLANUS,10,354.193548387, , , , , , ,CORIOLANUS,3,354.193548387,AUFIDIUS,1,104.516129032, , , ,AUFIDIUS,5,104.516129032,SICINIUS,5,81.2903225806, , , , , , , , , ,SICINIUS,2,81.2903225806,Third Conspirator,2,116.129032258, , , ,First Servingman,1,203.225806452, , , , , , ,Third Citizen,3,307.741935484,Third Citizen,1,307.741935484, , , ,VALERIA,1,162.580645161, , , ,CORIOLANUS,7,354.193548387,First Senator,3,348.387096774, , , ,Second Officer,1,255.483870968,SICINIUS,4,81.2903225806, , , ,Second Officer,2,255.483870968, , , ,First Senator,1,348.387096774, , , ,CORIOLANUS,12,354.193548387, , , ,VALERIA,2,162.580645161,First Officer,1,145.161290323, , , , , , ,First Servingman,3,203.225806452,First Servingman,1,203.225806452,VOLUMNIA,9,232.258064516, , , , , , ,Volsce,1,150.967741935, , , 
 , , , , , ,Citizens,1,342.580645161,AUFIDIUS,3,104.516129032,COMINIUS,4,46.4516129032, , , , , , , , , , , , ,First Senator,1,348.387096774, , , ,BRUTUS,4,75.4838709677, , , , , , , , , , , , , , , ,CORIOLANUS,8,354.193548387, , , ,CORIOLANUS,8,354.193548387, , , , , , ,CORIOLANUS,3,354.193548387,SICINIUS,3,81.2903225806, , , ,MENENIUS,14,168.387096774, , , , , , ,CORIOLANUS,11,354.193548387, , , ,CORIOLANUS,17,354.193548387, , , , , , ,Citizens,2,342.580645161, , , ,CORIOLANUS,3,354.193548387, , , , , , , , , ,MENENIUS,12,168.387096774,Second Officer,1,255.483870968, , , , , , ,Second Servingman,1,92.9032258065,CORIOLANUS,10,354.193548387,Messenger,1,52.2580645161, , , , , , ,First Senator,2,348.387096774, , , 
 , , , , , ,CORIOLANUS,3,354.193548387,First Senator,1,348.387096774,VIRGILIA,2,197.419354839, , , , , , , , , , , , ,CORIOLANUS,5,354.193548387, , , ,Second Citizen,1,0, , , , , , , , , , , , , , , ,AUFIDIUS,4,104.516129032, , , , , , , , , , , , , , , , , , , , , ,LARTIUS,1,23.2258064516, , , , , , , , , , , , ,AUFIDIUS,9,104.516129032, , , , , , ,CORIOLANUS,24,354.193548387, , , , , , , , , , , , , , , ,First Citizen,2,174.193548387,Second Lord,1,63.8709677419, , , , , , ,CORIOLANUS,11,354.193548387, , , ,SICINIUS,3,81.2903225806, , , , , , ,SICINIUS,2,81.2903225806, , , 
 , , , , , ,AUFIDIUS,11,104.516129032,CORIOLANUS,15,354.193548387,Herald,1,214.838709677, , , , , , , , , , , , , , , , , , ,CORIOLANUS,4,354.193548387, , , , , , , , , , , , , , , ,BRUTUS,15,75.4838709677, , , , , , , , , , , , , , , , , , , , , ,Citizens,1,342.580645161, , , , , , , , , , , , ,BRUTUS,4,75.4838709677, , , , , , ,AUFIDIUS,8,104.516129032, , , , , , , , , , , , , , , ,AEdile,1,180.0,SICINIUS,2,81.2903225806, , , , , , ,AUFIDIUS,4,104.516129032, , , ,AUFIDIUS,14,104.516129032, , , , , , , , , , , , 
 , , , , , ,First Senator,3,348.387096774, , , ,VOLUMNIA,3,232.258064516, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Third Citizen,1,307.741935484, , , , , , , , , , , , , , , , , , , , , ,Roman,3,226.451612903, , , , , , , , , , , , ,First Servingman,2,203.225806452, , , , , , ,BRUTUS,6,75.4838709677, , , , , , , , , , , , , , , ,Citizens,1,342.580645161,AUFIDIUS,4,104.516129032, , , , , , ,First Senator,3,348.387096774, , , ,First Senator,5,348.387096774, , , , , , , , , , , , 
 , , , , , ,SICINIUS,5,81.2903225806, , , ,Seventh Citizen,1,238.064516129, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SICINIUS,21,81.2903225806, , , , , , , , , , , , , , , , , , , , , ,VOLUMNIA,6,232.258064516, , , , , , , , , , , , ,SICINIUS,8,81.2903225806, , , , , , ,SICINIUS,8,81.2903225806, , , , , , , , , , , , , , , ,Fourth Citizen,1,209.032258065,First Senator,2,348.387096774, , , , , , ,Third Citizen,1,307.741935484, , , ,First Roman,1,284.516129032, , , , , , , , , , , , 
 , , , , , , , , , , , ,Third Citizen,2,307.741935484, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Second Officer,1,255.483870968, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Roman,3,226.451612903,Third Citizen,1,307.741935484, , , , , , ,SICINIUS,3,81.2903225806, , , ,CORIOLANUS,15,354.193548387, , , , , , , , , , , , 
 , , , , , , , , , , , ,First Senator,2,348.387096774, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Third Citizen,2,307.741935484, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,VOLUMNIA,13,232.258064516,CORIOLANUS,9,354.193548387, , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , ,CORIOLANUS,15,354.193548387, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,All Citizens,1,325.161290323, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Second Officer,3,255.483870968, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,First Senator,3,348.387096774, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Third Citizen,4,307.741935484, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CORIOLANUS,10,354.193548387, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Sixth Citizen,1,313.548387097, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,First Senator,4,348.387096774, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
