set,old,give,sweet,head,sack,two,percy,world,love,fear,prince,speak,horse,devil,hal,god,away,father,mortimer,douglas,better,call,take,lord,john,tell,noble,life,never,faith,honour,men,death,hear,blood,cousin,son,true,day,three,man,four,great,stand,time,meet,harry,jack,king
GADSHILL 2 349.714285714,HOTSPUR 13 61.7142857143,,,,,,,,,,,,,,Vintner 2 257.142857143,,,,,,,,,EARL OF DOUGLAS 2 216.0,,EARL OF DOUGLAS 2 216.0,,,,,,HOTSPUR 13 61.7142857143,,PRINCE HENRY 11 288.0,,,,,HOTSPUR 11 61.7142857143,,WESTMORELAND 2 185.142857143,,,,Second Carrier 1 82.2857142857,,,,EARL OF DOUGLAS 10 216.0
,EARL OF DOUGLAS 2 216.0,,,,,,,,,,,,,,EARL OF WORCESTER 11 277.714285714,,,,,,,,,FRANCIS 6 205.714285714,,Chamberlain 1 72.0,,,,,,EARL OF DOUGLAS 2 216.0,,HOTSPUR 14 61.7142857143,,,,,,,EARL OF DOUGLAS 1 216.0,,,,,,,,PRINCE HENRY 11 288.0
,Chamberlain 5 72.0,,,,,,,,,,,,,,EARL OF DOUGLAS 3 216.0,,,,,,,,,LANCASTER 1 226.285714286,,Second Carrier 1 82.2857142857,,,,,,GADSHILL 2 349.714285714,,FRANCIS 1 205.714285714,,,,,,,LANCASTER 1 226.285714286,,,,,,,,HOTSPUR 25 61.7142857143
,VERNON 2 20.5714285714,,,,,,,,,,,,,,GADSHILL 1 349.714285714,,,,,,,,,Hostess 9 236.571428571,,,,,,,,,,EARL OF DOUGLAS 3 216.0,,,,,,,Hostess 9 236.571428571,,,,,,,,GADSHILL 1 349.714285714
,,,,,,,,,,,,,,,BARDOLPH 1 308.571428571,,,,,,,,,Servant 3 246.857142857,,,,,,,,,,Chamberlain 1 72.0,,,,,,,EARL OF WORCESTER 3 277.714285714,,,,,,,,
,,,,,,,,,,,,,,,MORTIMER 3 318.857142857,,,,,,,,,Vintner 1 257.142857143,,,,,,,,,,VERNON 1 20.5714285714,,,,,,,PRINCE HENRY 28 288.0,,,,,,,,
,,,,,,,,,,,,,,,First Traveller 1 339.428571429,,,,,,,,,EARL OF WORCESTER 6 277.714285714,,,,,,,,,,,,,,,,,MORTIMER 2 318.857142857,,,,,,,,
,,,,,,,,,,,,,,,SIR MICHAEL 1 298.285714286,,,,,,,,,PRINCE HENRY 9 288.0,,,,,,,,,,,,,,,,,GADSHILL 2 349.714285714,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,BARDOLPH 5 308.571428571,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,MORTIMER 1 318.857142857,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,SIR MICHAEL 6 298.285714286,,,,,,,,,,,,,,,,,,,,,,,,,
