right,rightLines,rightColor,england,englandLines,englandColor,fair,fairLines,fairColor,give,giveLines,giveColor,mine,mineLines,mineColor,son,sonLines,sonColor,set,setLines,setColor,hubert,hubertLines,hubertColor,soul,soulLines,soulColor,love,loveLines,loveColor,arms,armsLines,armsColor,keep,keepLines,keepColor,speak,speakLines,speakColor,death,deathLines,deathColor,majesty,majestyLines,majestyColor,lady,ladyLines,ladyColor,robert,robertLines,robertColor,peace,peaceLines,peaceColor,father,fatherLines,fatherColor,young,youngLines,youngColor,france,franceLines,franceColor,take,takeLines,takeColor,time,timeLines,timeColor,lord,lordLines,lordColor,john,johnLines,johnColor,war,warLines,warColor,eyes,eyesLines,eyesColor,never,neverLines,neverColor,faith,faithLines,faithColor,men,menLines,menColor,bear,bearLines,bearColor,hand,handLines,handColor,heaven,heavenLines,heavenColor,hear,hearLines,hearColor,blood,bloodLines,bloodColor,world,worldLines,worldColor,true,trueLines,trueColor,day,dayLines,dayColor,king,kingLines,kingColor,great,greatLines,greatColor,land,landLines,landColor,boy,boyLines,boyColor,life,lifeLines,lifeColor,brother,brotherLines,brotherColor,tell,tellLines,tellColor,arthur,arthurLines,arthurColor,stand,standLines,standColor,mother,motherLines,motherColor,tongue,tongueLines,tongueColor,away,awayLines,awayColor
ARTHUR,1,321.428571429,French Herald,1,12.8571428571,KING JOHN,2,192.857142857,KING JOHN,10,192.857142857,CONSTANCE,3,257.142857143,KING JOHN,11,192.857142857, , , , , , ,PRINCE HENRY,3,244.285714286,KING JOHN,10,192.857142857, , , , , , ,HUBERT,5,77.1428571429,CONSTANCE,3,257.142857143, , , ,CONSTANCE,2,257.142857143, , , ,CONSTANCE,6,257.142857143, , , ,CONSTANCE,1,257.142857143,KING JOHN,20,192.857142857, , , ,KING JOHN,6,192.857142857,CONSTANCE,2,257.142857143, , , ,First Executioner,1,180.0, , , , , , , , , ,KING PHILIP,5,154.285714286, , , ,KING JOHN,12,192.857142857,CONSTANCE,10,257.142857143,ARTHUR,4,321.428571429,ARTHUR,1,321.428571429,PRINCE HENRY,1,244.285714286, , , ,Messenger,1,64.2857142857,KING PHILIP,8,154.285714286, , , ,CHATILLON,6,308.571428571, , , ,CONSTANCE,2,257.142857143, , , , , , , , , , , , , , , ,CONSTANCE,3,257.142857143, , , 
KING JOHN,4,192.857142857,Messenger,1,64.2857142857,HUBERT,3,77.1428571429,HUBERT,1,77.1428571429, , , ,HUBERT,2,77.1428571429, , , , , , ,CONSTANCE,2,257.142857143,HUBERT,1,77.1428571429, , , , , , ,CONSTANCE,2,257.142857143,SALISBURY,3,334.285714286, , , ,SALISBURY,1,334.285714286, , , ,SALISBURY,1,334.285714286, , , , , , ,CONSTANCE,5,257.142857143, , , ,HUBERT,1,77.1428571429,SALISBURY,5,334.285714286, , , ,KING JOHN,6,192.857142857, , , , , , , , , ,ARTHUR,6,321.428571429, , , ,HUBERT,4,77.1428571429,SALISBURY,1,334.285714286,Messenger,3,64.2857142857,KING JOHN,16,192.857142857,CONSTANCE,2,257.142857143, , , ,KING JOHN,6,192.857142857,CHATILLON,3,308.571428571, , , ,AUSTRIA,2,167.142857143, , , ,SALISBURY,1,334.285714286, , , , , , , , , , , , , , , , , , , , , 
CONSTANCE,5,257.142857143,KING JOHN,5,192.857142857,CONSTANCE,4,257.142857143,PRINCE HENRY,1,244.285714286, , , ,LEWIS,4,347.142857143, , , , , , ,SALISBURY,4,334.285714286,CONSTANCE,4,257.142857143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SALISBURY,1,334.285714286, , , ,SALISBURY,3,334.285714286, , , , , , ,HUBERT,1,77.1428571429, , , , , , , , , ,KING JOHN,12,192.857142857, , , ,CONSTANCE,5,257.142857143, , , ,KING JOHN,15,192.857142857,HUBERT,1,77.1428571429,SALISBURY,1,334.285714286, , , ,CONSTANCE,12,257.142857143,AUSTRIA,3,167.142857143, , , ,French Herald,1,12.8571428571, , , , , , , , , , , , , , , , , , , , , , , , , , , 
SALISBURY,4,334.285714286,HUBERT,1,77.1428571429,SALISBURY,1,334.285714286,CONSTANCE,6,257.142857143, , , ,CONSTANCE,13,257.142857143, , , , , , , , , ,SALISBURY,3,334.285714286, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,LADY FAULCONBRIDGE,1,115.714285714, , , , , , , , , ,HUBERT,1,77.1428571429, , , ,SALISBURY,4,334.285714286, , , ,HUBERT,4,77.1428571429,PRINCE HENRY,1,244.285714286, , , , , , ,SALISBURY,2,334.285714286,French Herald,1,12.8571428571, , , ,Messenger,2,64.2857142857, , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , ,CONSTANCE,3,257.142857143, , , ,SALISBURY,2,334.285714286, , , ,SALISBURY,3,334.285714286, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PRINCE HENRY,1,244.285714286, , , , , , , , , ,LEWIS,7,347.142857143, , , , , , , , , ,CONSTANCE,4,257.142857143,CONSTANCE,6,257.142857143, , , , , , , , , ,KING JOHN,18,192.857142857, , , ,KING JOHN,10,192.857142857, , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CONSTANCE,5,257.142857143, , , , , , , , , ,PRINCE HENRY,1,244.285714286, , , , , , , , , ,SALISBURY,1,334.285714286,SALISBURY,3,334.285714286, , , , , , , , , ,HUBERT,7,77.1428571429, , , ,HUBERT,2,77.1428571429, , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SALISBURY,2,334.285714286, , , , , , , , , ,CONSTANCE,5,257.142857143, , , , , , , , , , , , , , , , , , , , , , , , ,LEWIS,4,347.142857143, , , ,MELUN,1,231.428571429, , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PRINCE HENRY,1,244.285714286, , , ,CONSTANCE,5,257.142857143, , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MELUN,2,231.428571429, , , ,SALISBURY,1,334.285714286, , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CONSTANCE,10,257.142857143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SALISBURY,8,334.285714286, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
