heart,heartLines,heartColor,old,oldLines,oldColor,majesty,majestyLines,majestyColor,give,giveLines,giveColor,mine,mineLines,mineColor,dead,deadLines,deadColor,son,sonLines,sonColor,shallow,shallowLines,shallowColor,cousin,cousinLines,cousinColor,love,loveLines,loveColor,prince,princeLines,princeColor,speak,speakLines,speakColor,death,deathLines,deathColor,davy,davyLines,davyColor,pray,prayLines,prayColor,god,godLines,godColor,away,awayLines,awayColor,peace,peaceLines,peaceColor,father,fatherLines,fatherColor,young,youngLines,youngColor,grace,graceLines,graceColor,better,betterLines,betterColor,master,masterLines,masterColor,take,takeLines,takeColor,lord,lordLines,lordColor,john,johnLines,johnColor,tell,tellLines,tellColor,noble,nobleLines,nobleColor,life,lifeLines,lifeColor,never,neverLines,neverColor,faith,faithLines,faithColor,time,timeLines,timeColor,bear,bearLines,bearColor,hand,handLines,handColor,hear,hearLines,hearColor,blood,bloodLines,bloodColor,men,menLines,menColor,news,newsLines,newsColor,true,trueLines,trueColor,day,dayLines,dayColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,pistol,pistolLines,pistolColor,word,wordLines,wordColor,bardolph,bardolphLines,bardolphColor,marry,marryLines,marryColor,stand,standLines,standColor,harry,harryLines,harryColor,two,twoLines,twoColor
WESTMORELAND,1,160.85106383,FALSTAFF,12,30.6382978723, , , ,PRINCE HENRY,2,245.106382979,PRINCE HENRY,3,245.106382979,WARWICK,2,15.3191489362,MORTON,3,252.765957447, , , , , , ,WESTMORELAND,2,160.85106383,GOWER,1,337.021276596,KING HENRY V,1,291.063829787,SHALLOW,1,7.65957446809, , , ,Page,1,260.425531915,DAVY,1,22.9787234043,Page,1,260.425531915,HASTINGS,2,183.829787234,KING HENRY V,5,291.063829787,MORTON,1,252.765957447,MORTON,1,252.765957447,PRINCE HENRY,3,245.106382979,PRINCE HENRY,3,245.106382979,Second Drawer,1,314.042553191,Lord Chief-Justice,2,137.872340426,LORD BARDOLPH,2,298.723404255,FALSTAFF,5,30.6382978723,PRINCE HENRY,2,245.106382979,LORD BARDOLPH,2,298.723404255,PRINCE HENRY,3,245.106382979, , , ,LORD BARDOLPH,1,298.723404255,WESTMORELAND,1,160.85106383,PRINCE HENRY,1,245.106382979,MORTON,1,252.765957447,PRINCE HENRY,3,245.106382979,LADY PERCY,1,45.9574468085,MORTON,1,252.765957447,PRINCE HENRY,4,245.106382979,LORD BARDOLPH,2,298.723404255,Lord Chief-Justice,1,137.872340426,LORD BARDOLPH,2,298.723404255,HASTINGS,1,183.829787234, , , ,Second Drawer,1,314.042553191,PISTOL,1,168.510638298, , , ,MOULDY,1,145.531914894,KING HENRY V,4,291.063829787,LADY PERCY,1,45.9574468085
LADY PERCY,1,45.9574468085,Second Drawer,1,314.042553191, , , ,MORTON,1,252.765957447,MORTON,1,252.765957447,PRINCE HENRY,2,245.106382979, , , , , , , , , ,LADY PERCY,1,45.9574468085,FALSTAFF,9,30.6382978723,DAVY,1,22.9787234043, , , , , , , , , ,FALSTAFF,11,30.6382978723, , , , , , ,FALSTAFF,5,30.6382978723, , , ,HASTINGS,1,183.829787234,Page,1,260.425531915,Page,2,260.425531915,PRINCE HENRY,1,245.106382979,WESTMORELAND,11,160.85106383,First Drawer,1,176.170212766,WESTMORELAND,1,160.85106383,MORTON,4,252.765957447,FALSTAFF,1,30.6382978723,MORTON,1,252.765957447, , , ,FALSTAFF,7,30.6382978723,PRINCE HENRY,1,245.106382979,PISTOL,1,168.510638298,First Drawer,1,176.170212766,MORTON,1,252.765957447,MORTON,3,252.765957447,SHALLOW,1,7.65957446809,HARCOURT,1,321.70212766,FALSTAFF,5,30.6382978723,First Beadle,2,153.191489362,PETO,1,306.382978723, , , , , , ,LADY PERCY,1,45.9574468085,Page,1,260.425531915, , , ,FALSTAFF,7,30.6382978723,FALSTAFF,2,30.6382978723,PISTOL,1,168.510638298
PRINCE HENRY,2,245.106382979,PRINCE HENRY,1,245.106382979, , , ,SHALLOW,8,7.65957446809,Page,1,260.425531915,SILENCE,1,268.085106383, , , , , , , , , ,PRINCE HENRY,2,245.106382979,WESTMORELAND,3,160.85106383,First Drawer,1,176.170212766, , , , , , , , , ,LANCASTER,4,191.489361702, , , , , , ,WESTMORELAND,3,160.85106383, , , , , , , , , , , , ,Page,1,260.425531915,HASTINGS,2,183.829787234,BARDOLPH,1,283.404255319,PRINCE HENRY,5,245.106382979,LADY NORTHUMBERLAND,1,344.680851064,LADY PERCY,1,45.9574468085,HASTINGS,2,183.829787234, , , ,LANCASTER,1,191.489361702,FEEBLE,2,61.2765957447, , , ,HASTINGS,1,183.829787234, , , ,SILENCE,1,268.085106383,HASTINGS,2,183.829787234,MORTON,1,252.765957447,DAVY,1,22.9787234043,PISTOL,2,168.510638298,FALSTAFF,11,30.6382978723, , , , , , ,PRINCE HENRY,2,245.106382979,HASTINGS,1,183.829787234, , , ,WESTMORELAND,1,160.85106383,LADY PERCY,2,45.9574468085,Page,2,260.425531915
SILENCE,1,268.085106383,Page,2,260.425531915, , , , , , ,SILENCE,1,268.085106383, , , , , , , , , , , , , , , ,Second Drawer,2,314.042553191,FALSTAFF,4,30.6382978723, , , , , , , , , ,WESTMORELAND,1,160.85106383, , , , , , ,LADY PERCY,2,45.9574468085, , , , , , , , , , , , ,HASTINGS,2,183.829787234,LANCASTER,9,191.489361702,WESTMORELAND,2,160.85106383,HARCOURT,1,321.70212766, , , ,PRINCE HENRY,2,245.106382979, , , , , , ,WESTMORELAND,3,160.85106383, , , , , , , , , , , , ,HASTINGS,1,183.829787234, , , , , , ,PRINCE HENRY,1,245.106382979,HASTINGS,1,183.829787234,LANCASTER,5,191.489361702, , , , , , ,MORTON,2,252.765957447, , , , , , ,WARWICK,1,15.3191489362,MORTON,1,252.765957447,SILENCE,1,268.085106383
 , , ,SILENCE,1,268.085106383, , , , , , , , , , , , , , , , , , , , , , , , ,WARWICK,7,15.3191489362,WESTMORELAND,2,160.85106383, , , , , , , , , ,SHALLOW,4,7.65957446809, , , , , , ,PRINCE HENRY,6,245.106382979, , , , , , , , , , , , , , , ,CLARENCE,1,206.808510638,Second Drawer,1,314.042553191,PISTOL,1,168.510638298, , , ,MORTON,2,252.765957447, , , , , , ,LADY PERCY,1,45.9574468085, , , , , , , , , , , , , , , , , , , , , ,PISTOL,2,168.510638298,LANCASTER,3,191.489361702,WESTMORELAND,4,160.85106383, , , , , , , , , , , , , , , ,HARCOURT,1,321.70212766,GOWER,1,337.021276596, , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PRINCE HENRY,1,245.106382979,LADY PERCY,1,45.9574468085, , , , , , , , , ,LADY PERCY,3,45.9574468085, , , , , , ,MOWBRAY,2,122.553191489, , , , , , , , , , , , , , , ,Servant,2,214.468085106,COLEVILE,2,275.744680851,GOWER,1,337.021276596, , , , , , , , , , , , ,PRINCE HENRY,2,245.106382979, , , , , , , , , , , , , , , , , , , , , , , , ,DOLL TEARSHEET,1,199.14893617,SHALLOW,4,7.65957446809, , , , , , , , , , , , , , , ,HASTINGS,2,183.829787234,HASTINGS,1,183.829787234, , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FEEBLE,1,61.2765957447,PRINCE HENRY,2,245.106382979, , , , , , , , , ,PRINCE HENRY,6,245.106382979, , , , , , ,HASTINGS,1,183.829787234, , , , , , , , , , , , , , , ,BULLCALF,2,229.787234043,PISTOL,5,168.510638298, , , , , , , , , , , , , , , ,MORTON,1,252.765957447, , , , , , , , , , , , , , , , , , , , , , , , ,Servant,1,214.468085106,LADY PERCY,1,45.9574468085, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Page,1,260.425531915,MORTON,1,252.765957447, , , , , , , , , ,MORTON,1,252.765957447, , , , , , , , , , , , , , , , , , , , , , , , ,PRINCE HENRY,2,245.106382979,GOWER,1,337.021276596, , , , , , , , , , , , , , , ,HASTINGS,2,183.829787234, , , , , , , , , , , , , , , , , , , , , , , , ,BULLCALF,1,229.787234043,PRINCE HENRY,3,245.106382979, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HASTINGS,1,183.829787234,Page,1,260.425531915, , , , , , , , , ,FEEBLE,1,61.2765957447, , , , , , , , , , , , , , , , , , , , , , , , ,MORTON,6,252.765957447,SILENCE,3,268.085106383, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PRINCE HENRY,5,245.106382979,MORTON,3,252.765957447, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,LADY NORTHUMBERLAND,1,344.680851064, , , , , , , , , ,SILENCE,1,268.085106383, , , , , , , , , , , , , , , , , , , , , , , , ,Page,4,260.425531915,HASTINGS,1,183.829787234, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MORTON,1,252.765957447,GOWER,1,337.021276596, , , , , , , , , , , , , , , , , , , , , , , , 
