scene	numLines
I.1	57
I.2	0
I.3	75
I.4	40
II.1	41
II.2	0
II.3	0
II.4	0
III.1	0
III.2	146
III.3	106
III.4	0
IV.1	134
V.1	63
V.2	0
V.3	0
V.4	0
V.5	96
V.6	0
