scene	numLines
I.1	0
I.2	0
I.3	5
I.4	15
II.1	0
II.2	0
II.3	0
II.4	0
III.1	0
III.2	12
III.3	3
III.4	0
IV.1	26
V.1	0
V.2	11
V.3	13
V.4	0
V.5	0
V.6	0
