scene	numLines
I.1	0
I.2	0
I.3	0
II.1	3
II.2	0
II.3	0
III.1	13
III.2	0
III.3	29
III.4	18
IV.1	0
IV.2	44
IV.3	47
V.1	4
V.2	87
