name,color
Bedford,"d3.hsl(185, 1, 0.2)"
Gloucester,"d3.hsl(185, 1, 0.212931034483)"
Exeter,"d3.hsl(185, 1, 0.225862068966)"
Bishop Of Winchester,"d3.hsl(185, 1, 0.238793103448)"
Messenger,"d3.hsl(185, 1, 0.251724137931)"
Charles,"d3.hsl(185, 1, 0.264655172414)"
Alencon,"d3.hsl(185, 1, 0.277586206897)"
Reignier,"d3.hsl(185, 1, 0.290517241379)"
Bastard Of Orleans,"d3.hsl(185, 1, 0.303448275862)"
Joan La Pucelle,"d3.hsl(185, 1, 0.316379310345)"
First Warder,"d3.hsl(185, 1, 0.329310344828)"
First Serving-man,"d3.hsl(185, 1, 0.34224137931)"
Second Warder,"d3.hsl(185, 1, 0.355172413793)"
Woodvile,"d3.hsl(185, 1, 0.368103448276)"
Serving-men,"d3.hsl(185, 1, 0.381034482759)"
Mayor,"d3.hsl(185, 1, 0.393965517241)"
Officer,"d3.hsl(185, 1, 0.406896551724)"
Master-gunner,"d3.hsl(185, 1, 0.419827586207)"
Boy,"d3.hsl(185, 1, 0.43275862069)"
Salisbury,"d3.hsl(185, 1, 0.445689655172)"
Talbot,"d3.hsl(185, 1, 0.458620689655)"
Gargrave,"d3.hsl(185, 1, 0.471551724138)"
Glansdale,"d3.hsl(185, 1, 0.484482758621)"
Sergeant,"d3.hsl(185, 1, 0.497413793103)"
First Sentinel,"d3.hsl(185, 1, 0.510344827586)"
Burgundy,"d3.hsl(185, 1, 0.523275862069)"
Sentinels,"d3.hsl(185, 1, 0.536206896552)"
Soldier,"d3.hsl(185, 1, 0.549137931034)"
Captain,"d3.hsl(185, 1, 0.562068965517)"
Countess Of Auvergne,"d3.hsl(185, 1, 0.575)"
Porter,"d3.hsl(185, 1, 0.587931034483)"
Richard Plantagenet,"d3.hsl(185, 1, 0.600862068966)"
Suffolk,"d3.hsl(185, 1, 0.613793103448)"
Somerset,"d3.hsl(185, 1, 0.626724137931)"
Warwick,"d3.hsl(185, 1, 0.639655172414)"
Vernon,"d3.hsl(185, 1, 0.652586206897)"
Lawyer,"d3.hsl(185, 1, 0.665517241379)"
Mortimer,"d3.hsl(185, 1, 0.678448275862)"
First Gaoler,"d3.hsl(185, 1, 0.691379310345)"
King Henry Vi,"d3.hsl(185, 1, 0.704310344828)"
First Serving-man,"d3.hsl(185, 1, 0.71724137931)"
Second Serving-man,"d3.hsl(185, 1, 0.730172413793)"
Third Serving-man,"d3.hsl(185, 1, 0.743103448276)"
All,"d3.hsl(185, 1, 0.756034482759)"
First Soldier,"d3.hsl(185, 1, 0.768965517241)"
Watch,"d3.hsl(185, 1, 0.781896551724)"
Fastolfe,"d3.hsl(185, 1, 0.794827586207)"
Basset,"d3.hsl(185, 1, 0.80775862069)"
York,"d3.hsl(185, 1, 0.820689655172)"
General,"d3.hsl(185, 1, 0.833620689655)"
Lucy,"d3.hsl(185, 1, 0.846551724138)"
John Talbot,"d3.hsl(185, 1, 0.859482758621)"
Servant,"d3.hsl(185, 1, 0.872413793103)"
Cardinal Of Winchester,"d3.hsl(185, 1, 0.885344827586)"
Legate,"d3.hsl(185, 1, 0.898275862069)"
Scout,"d3.hsl(185, 1, 0.911206896552)"
Margaret,"d3.hsl(185, 1, 0.924137931034)"
Shepherd,"d3.hsl(185, 1, 0.937068965517)"
