scene	numLines
I.1	0
I.2	80
I.3	62
II.1	0
II.2	0
II.3	0
II.4	6
II.5	0
II.6	0
II.7	0
III.1	0
III.2	68
III.3	0
III.4	27
III.5	0
IV.1	11
IV.2	0
IV.3	22
V.1	0
V.2	0
V.3	0
V.4	0
