scene	numLines
I.1	10
I.2	0
I.3	13
I.4	0
I.5	3
I.6	4
II.1	0
II.2	0
II.3	1
II.4	0
II.5	0
III.1	0
III.2	29
III.3	0
III.4	86
III.5	27
III.6	0
III.7	0
IV.1	0
IV.2	0
IV.3	16
IV.4	0
V.1	0
V.2	0
V.3	0
V.4	0
V.5	29
